"","dst","latitud","longitud","index"
"572085","62.115.113.21",47,8,572085
"572087","62.115.119.230",47,8,572087
"572088","62.115.120.176",47,8,572088
"5720881","62.115.122.139",47,8,572088
"5720882","62.115.122.158",47,8,572088
"572110","62.115.136.200",47,8,572110
"572146","62.115.141.245",47,8,572146
"5721461","62.115.142.5",47,8,572146
"572147","62.115.148.161",47,8,572147
"565002","62.40.98.129",51.4964,-0.1224,565002
"564994","62.40.98.36",51.4964,-0.1224,564994
"596716","63.245.90.169",37.751,-97.822,596716
"5967161","63.245.90.205",37.751,-97.822,596716
"683505","67.17.94.249",37.751,-97.822,683505
"6835051","67.17.99.233",37.751,-97.822,683505
"773413","69.79.102.0",37.751,-97.822,773413
"7734131","69.79.102.21",37.751,-97.822,773413
"773414","69.79.106.16",18.25,-66.5,773414
"1237189","80.239.135.137",47,8,1237189
"1307723","83.97.88.94",51.4964,-0.1224,1307723
"1498486","89.149.139.1",53.3472,-6.2439,1498486
"14984861","89.149.139.5",53.3472,-6.2439,1498486
"1506140","89.221.37.139",43.1479,12.1097,1506140
"15061401","89.221.37.151",43.1479,12.1097,1506140
"15061402","89.221.41.161",43.1479,12.1097,1506140
"15061403","89.221.41.187",43.1479,12.1097,1506140
"15061404","89.221.41.197",43.1479,12.1097,1506140
